####$# Fintech & Payments ####$#
| 1  | Paytm                      | Noida, India     | ₹17L–₹96L   | Digital payments      | Leading payments app powering merchants with UPI, bills, recharges, and financial services across India            |    
| 2  | PhonePe                    | Bengaluru, India | ₹25L–₹1Cr   | Digital wallet        | UPI-based payments platform enabling seamless transactions, recharges, and merchant services for millions of users |    
| 3  | Razorpay                   | Bengaluru, India | ₹22L–₹65L   | Payment gateway       | Developer-friendly APIs for online payments, lending, and banking solutions serving businesses nationwide          |    
| 4  | CRED                       | Bengaluru, India | ₹20L–₹80L   | Credit rewards        | Rewards platform for credit card payments, loans, and financial tools targeting premium users                      |    
| 5  | Pine Labs                  | Noida, India     | ₹16L–₹97L   | Merchant financing    | POS and payment solutions with credit offerings for offline and online retail transactions                         |    
| 6  | Groww                      | Bengaluru, India | ₹25L–₹90L   | Investment platform   | Demat and mutual fund app simplifying stock trading and wealth management for retail investors                     |    
| 7  | BharatPe                   | Delhi NCR, India | ₹22L–₹85L   | Merchant payments     | Free payment tools and loans for small merchants via QR and POS, integrated with lending ecosystem                 |    
| 8  | Upstox                     | Mumbai, India    | ₹20L–₹80L   | Brokerage             | Low-cost trading app for stocks, options, and commodities with advanced charting tools                             |    
| 9  | Billdesk                   | Mumbai, India    | ₹18L–₹75L   | Payment processing    | Enterprise-grade payment gateway for e-commerce and bill collections with fraud detection                          |    
| 10 | Zeta                       | Bengaluru, India | ₹25L–₹1Cr   | Neo-banking           | Cloud-native banking platform for card issuance and digital accounts serving banks                                 |    
| 11 | Policybazaar               | Gurugram, India  | ₹22L–₹85L   | Insurance aggregator  | Online comparison and purchase of insurance policies with AI-driven recommendations                                |    
| 12 | OneCard                    | Pune, India      | ₹20L–₹75L   | Credit cards          | Metal credit cards with rewards and instant approvals via app for millennials                                      |    
| 13 | Slice                      | Bengaluru, India | ₹18L–₹70L   | Buy-now-pay-later     | Credit line for young users with UPI integration and spending analytics                                            |    
| 14 | CoinDCX                    | Mumbai, India    | ₹20L–₹80L   | Crypto exchange       | Secure trading platform for 200+ cryptocurrencies with staking and wallet services                                 |    
| 15 | CoinSwitch Kuber           | Bengaluru, India | ₹18L–₹75L   | Crypto aggregator     | Simple interface for buying/selling 100+ coins with fiat on-ramps                                                  |    
| 16 | Yubi (CredAvenue)          | Chennai, India   | ₹22L–₹85L   | Debt marketplace      | Platform connecting borrowers and lenders for corporate debt and bonds                                             |    
| 17 | 5ire                       | Mumbai, India    | ₹15L–₹60L   | Blockchain finance    | Sustainable blockchain ecosystem for DeFi and enterprise solutions                                                 |    
| 18 | Oxyzo                      | Gurugram, India  | ₹20L–₹75L   | SME lending           | OfBusiness arm providing credit to manufacturing SMBs                                                              |    
| 19 | Open                       | Bengaluru, India | ₹18L–₹70L   | Business banking      | Integrated platform for SMB payments, accounting, and credit                                                       |    
| 20 | MobiKwik                   | Gurugram, India  | ₹16L–₹65L   | Digital wallet        | Wallet for payments, recharges, and loans with merchant QR                                                         |    
| 21 | Digit Insurance            | Mumbai, India    | ₹22L–₹85L   | Digital insurance     | App-based policies for health, auto, and travel with quick claims                                                  |    
| 22 | HighRadius                 | Hyderabad, India | ₹25L–₹1Cr   | Fintech SaaS          | Autonomous finance software for AR, treasury, and collections                                                      |     
| 23 | Chargebee                  | Chennai, India   | ₹20L–₹80L   | Subscription billing  | Revenue management for SaaS with invoicing and dunning                                                             |    
| 24 | Five Star Business Finance | Chennai, India   | ₹18L–₹70L   | NBFC lending          | Secured loans to underserved MSMEs in South India                                                                  |    
| 25 | Zerodha                    | Bengaluru, India | ₹30L–₹1.2Cr | Stockbroking          | Zero-brokerage trading platform with Kite app and educational tools                                                |    
| 26 | Acko                       | Bengaluru, India | ₹20L–₹80L   | Insurtech             | Digital-first insurance for vehicles and health with embedded products                                             |    
####$# Fintech & Payments ####$#


####$# E-commerce & Marketplaces ####$#
| 1  | Flipkart                   | Bengaluru, India | ₹30L–₹1.5Cr | Online marketplace    | Pioneer in Indian e-commerce with vast selection in fashion, electronics, and essentials via apps and logistics    |
| 2  | Meesho                     | Bengaluru, India | ₹25L–₹90L   | Social commerce       | Enables resellers and small businesses to sell affordably through social media and app-based platform              |
| 3  | Nykaa                      | Mumbai, India    | ₹25L–₹85L   | Beauty & fashion      | Premium beauty e-tailer with stores, content, and wide range of cosmetics and lifestyle products                   |
| 4  | Lenskart                   | Delhi NCR, India | ₹20L–₹70L   | Eyewear retail        | Online-offline eyewear brand with virtual try-ons, home tests, and affordable frames for mass market               |
| 5  | Cars24                     | Gurugram, India  | ₹22L–₹80L   | Used cars             | Tech-driven used car marketplace with inspection, financing, and nationwide delivery services                      |
| 6  | BigBasket                  | Bengaluru, India | ₹20L–₹75L   | Grocery delivery      | Online supermarket for fresh produce and staples with same-day delivery                                            |
| 7  | Myntra                     | Bengaluru, India | ₹25L–₹90L   | Fashion retail        | Trendy apparel and accessories platform with live shopping and brand partnerships                                  |
| 8  | FirstCry                   | Pune, India      | ₹18L–₹70L   | Baby products         | One-stop shop for infants with toys, clothing, and maternity essentials                                            |
